ID1,Id2,Id2,ID3,Age,kg,kg,cm,DOB,Study,Grade
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
2748,1847,1847,2898,48,80,80,151,11/13/1990,Ph.D.,A-
1171,2077,2077,4124,51,57,57,165,8/4/1988,Doctorate,F-
1732,3784,3784,1402,50,101,101,194,11/11/1989,Doctorate,D-
4394,4799,4799,1141,45,90,90,171,12/26/1995,Ph.D.,A+
1712,2382,2382,3188,35,81,81,156,4/26/1998,Bachelor,C-
1727,4444,4444,2508,38,64,64,167,10/11/1995,Doctorate,A+
2548,1527,1527,2823,40,88,88,162,2/10/1985,Doctorate,B+
256,3598,3598,1337,55,95,95,163,2/1/1987,Doctorate,B-
1867,1372,1372,3748,36,105,105,196,6/8/1998,Bachelor,F+
4089,2497,2497,866,40,96,96,180,3/18/1987,Master,D-
1697,3628,3628,4174,58,64,64,173,6/17/1986,Ph.D.,F+
801,1837,1837,4264,59,87,87,179,9/17/1998,Master,A-
1382,4454,4454,371,56,68,68,197,4/20/1986,Master,F-
3148,2938,2938,2923,56,78,78,197,8/15/1985,Doctorate,A+
4724,3573,3573,1947,29,103,103,182,1/2/1986,Bachelor,C-
1622,3313,3313,2778,33,79,79,179,12/22/1991,Master,B-
4299,1131,1131,2122,27,87,87,187,8/23/1985,Bachelor,C-
3193,4984,4984,1782,46,104,104,181,1/3/1991,Master,D-
4944,1337,1337,1857,33,59,59,177,5/19/1995,Ph.D.,C+
3093,426,426,3498,33,86,86,164,2/21/1993,Ph.D.,B+
3238,166,166,3874,57,93,93,194,11/17/1998,Master,C+
4339,3158,3158,1016,24,78,78,151,9/8/1986,Master,F-
4809,1997,1997,4384,58,51,51,184,12/28/1991,Doctorate,D+
1231,636,636,2312,39,56,56,165,8/1/1991,Master,A+
4214,4414,4414,2307,41,76,76,199,6/12/1998,Doctorate,A-
3068,4919,4919,3583,24,66,66,171,2/20/1987,Doctorate,A+
2608,2442,2442,3483,21,91,91,193,7/27/1994,Doctorate,F+
2573,2918,2918,4379,27,85,85,185,5/16/1990,Bachelor,B-
341,926,926,16,48,65,65,186,3/1/1992,Doctorate,A-
3183,4569,4569,1927,50,84,84,192,12/15/1997,Doctorate,A-
4289,3173,3173,561,33,71,71,182,8/6/1993,Bachelor,D-
4229,556,556,716,49,98,98,172,1/28/1985,Doctorate,A+
4964,3233,3233,2447,30,97,97,191,9/24/1991,Doctorate,F-
2568,4384,4384,701,28,86,86,167,4/6/1985,Bachelor,A+
2593,4199,4199,3373,28,90,90,177,4/22/1992,Master,A+
371,4394,4394,1267,32,81,81,197,10/14/1995,Bachelor,B+
2342,456,456,4339,48,90,90,192,10/23/1990,Ph.D.,A-
2332,3463,3463,4094,45,61,61,155,9/2/1995,Doctorate,A+
3929,3929,3929,826,33,104,104,150,7/8/1985,Ph.D.,F+
2648,1066,1066,3548,28,56,56,186,7/10/1987,Ph.D.,C-
976,941,941,1201,47,63,63,152,6/10/1986,Bachelor,B+
4834,1051,1051,4559,23,53,53,193,12/30/1996,Ph.D.,C+
576,826,826,4744,40,91,91,175,10/15/1995,Ph.D.,C-
